Kanun Teklifi Sayısı;Genel Görüşme Önergesi Sayısı;İsim;Parti;Soru Önergesi Sayısı;Araştırma Önergesi Sayısı;Genel Kurul Konuşma Sayısı
20;0;Ahmet Mücahit ARINÇ;AK Parti;0;5;4
20;0;Ahmet Berat ÇONKAR;AK Parti;0;1;4
32;4;Ünal DEMİRTAŞ;CHP;167;528;23
1;0;İsmail TATLIOĞLU;İYİ Parti;16;230;57
16;0;Mehmet Yavuz DEMİR;AK Parti;0;3;4
9;7;Nihat YEŞİL;CHP;50;653;23
12;0;Hakan KAHTALI;AK Parti;0;6;4
10;3;Mürsel ALBAN;CHP;155;357;22
1;0;Ahmet Kamil EROZAN;İYİ Parti;43;333;55
11;0;Mehmet Ali CEVHERİ;AK Parti;0;5;4
11;0;Yakup TAŞ;AK Parti;0;5;4
6;0;Mehmet Akif YILMAZ;AK Parti;0;3;4
4;0;Ahmet BÜYÜKGÜMÜŞ;AK Parti;0;1;4
4;0;Halil ÖZCAN;AK Parti;0;6;4
6;2;Selin SAYEK BÖKE;CHP;34;175;22
3;0;Recep AKDAĞ;AK Parti;0;2;4
3;0;Zülfü Tolga AĞAR;AK Parti;0;2;4
2;0;Orhan ATALAY;AK Parti;0;2;4
3;0;Mahmut Celadet GAYDALI;HDP;68;12;70
